Article ID,Sentence ID,Sentence,Article,Link,Category,Subcategory,Number of Words
1,1,"Eine Seifenblase ist ein dünner Film Seifenwasser, der eine hohle Kugel mit schillernder Oberfläche formt.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,15
1,2,Sie bleibt gewöhnlich nur für wenige Momente stabil und reagiert empfindlich auf die Berührung mit festen Objekten.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,17
1,3,"Etwa 5.000 Jahre ist es her, seit die Sumerer das Sieden von Seife erfanden.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,14
1,4,Als Nebenprodukt entstand damals natürlich auch die erste Seifenblase.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,9
1,5,"Wegen dieser leichten Vergänglichkeit wurde ,Seifenblase‘ zu einer Metapher für etwas, das zwar anziehend, aber dennoch inhalts- und gehaltlos ist.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,20
1,6,"Dies spiegelt sich zum Beispiel in der Redewendung „Der Traum zerplatzte wie eine Seifenblase“ oder im Synonym ,Seifenblasenwirtschaft‘ für Bubble Economy.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,21
1,7,In der Kunst wird spätestens seit dem Barock die Seifenblase durchgängig ikonographisch als ein Vanitassymbol benutzt und spiegelt sowohl die Schönheit als auch die Flüchtigkeit des menschlichen Lebens wider.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,29
1,8,"Seifenblasen lösen auf physikalische Weise komplexe räumliche Probleme in der Mathematik, da sie im Gleichgewichtszustand die kleinste Oberfläche zwischen Punkten und Kanten bilden.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,23
1,9,"Seifenblasen bestehen aus einem dünnen (dipolaren) Wasserfilm, an dem sich innen und außen Seifenmoleküle anlagern mit einer dem Wasser zugewandten polaren, hydrophilen Carboxylat-Gruppe und einem dem Wasser abgewandten unpolaren, hydrophoben Alkylrest.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,31
1,10,"Der Aufbau ähnelt dem von Biomembranen, jedoch befindet sich bei Seifenblasen das Wasser innerhalb der Membran, nicht außerhalb.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,18
1,11,"Eine Seifenblase entsteht, wenn sich ein dünner Wasserfilm mit Seifenmolekülen vermischt.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,11
1,12,Beim Aufblasen entsteht eine Kugelform.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,5
1,13,Infolge des gravitationsbedingten Auslaufens (Drainage) der zwischen den Seifenfilmoberflächen befindlichen Flüssigkeit dünnt eine Seifenblase in ihrem oberen Teil zunehmend aus.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,20
1,14,"Man kann das beobachten, wenn man einen Seifenfilm auf eine Tassenöffnung zieht und dann senkrecht hält.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,16
